service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
144432,1,1,1,1,1,0,0,20200302,20270831
144433,1,1,1,1,1,0,0,20200302,20270831
144695,0,0,0,0,0,1,1,20200302,20270831
144696,0,0,0,0,1,0,0,20250901,20260609
144975,1,1,1,1,1,0,0,20200302,20270831
146200,1,1,1,1,1,0,0,20201019,20270831
146736,1,1,1,1,1,1,1,20200401,20300331
146746,1,1,1,1,1,1,0,20200401,20300331
146747,1,1,1,1,1,1,1,20200401,20300331
146752,1,1,1,1,1,0,0,20221201,20300331
146753,0,0,0,0,0,1,1,20221201,20300331
146754,1,1,1,1,1,1,1,20221201,20300331
146757,1,1,1,1,1,1,1,20221201,20300331
146758,1,1,1,1,1,0,0,20221201,20300331
146759,0,0,0,0,0,1,1,20221201,20300331
146765,1,1,1,1,1,0,0,20221201,20300331
146766,1,1,1,1,1,1,1,20221201,20300331
146777,1,1,1,1,1,0,0,20241028,20300331
146778,0,0,0,0,0,1,1,20241028,20300331
146792,1,1,1,1,1,0,0,20200401,20300331
146793,1,1,1,1,1,0,0,20200401,20300331
146797,1,1,1,1,1,1,1,20221201,20300331
150374,1,1,1,1,1,0,0,20200505,20300331
152076,1,0,1,1,1,0,0,20250915,20261123
156836,1,1,1,1,1,1,0,20200822,20300331
156837,1,1,1,1,1,1,1,20200822,20300331
157235,0,0,0,0,1,0,0,20200901,20300331
157336,1,1,1,1,1,1,1,20200901,20300331
157337,1,0,1,0,0,1,1,20200901,20300331
157338,0,1,0,1,0,0,0,20200901,20300331
158408,1,1,1,1,1,0,0,20250915,20261123
158409,1,1,1,1,1,1,1,20250915,20261123
158484,1,0,0,0,0,0,0,20250901,20260630
158485,1,1,1,1,1,1,1,20250901,20260630
159140,1,1,1,1,1,0,0,20250915,20261123
159141,1,1,1,1,1,0,0,20250915,20261123
159146,0,0,0,0,0,1,0,20250915,20261123
159151,0,0,0,0,0,0,1,20250915,20261123
159288,1,1,1,1,1,0,0,20201010,20300331
159342,0,0,0,0,0,1,1,20201010,20300331
159343,0,0,0,0,0,1,1,20201010,20300331
159969,1,1,1,1,1,0,0,20201015,20261123
159973,0,0,0,0,0,1,0,20201015,20261123
160000,1,1,1,1,1,1,0,20240909,20270831
160215,1,1,1,1,1,0,0,20201101,20300331
161843,1,1,1,1,1,1,1,20201201,20300331
161844,1,1,1,1,1,1,1,20201201,20300331
161852,1,1,1,1,1,1,1,20221201,20300331
162010,1,1,1,1,1,0,0,20201201,20261123
162757,1,1,1,1,1,0,0,20201204,20290930
162758,1,1,1,1,1,1,1,20201204,20290930
162759,1,1,1,1,1,1,1,20201204,20290930
162760,0,0,0,0,0,1,1,20201204,20290930
163437,0,0,1,0,0,0,0,20201213,20261123
163443,0,0,1,0,0,0,0,20201213,20261123
163506,1,1,1,1,1,1,1,20201212,20300331
163785,1,1,1,1,1,1,1,20201216,20290930
163787,1,1,1,1,1,1,1,20201216,20290930
163928,0,0,0,0,1,0,1,20201227,20251226
164004,1,1,1,1,1,0,0,20210111,20261123
164006,1,1,1,1,1,0,0,20210111,20261123
164026,0,0,1,0,1,0,0,20210111,20261123
164086,1,1,1,1,1,0,0,20210111,20261123
164088,1,1,1,1,1,0,0,20210111,20261123
164096,1,1,1,1,1,0,0,20210111,20261123
164298,1,1,1,1,1,1,1,20251231,20251231
164300,1,1,1,1,1,1,1,20260106,20260106
165268,0,0,0,0,0,1,1,20211210,20261123
165269,0,0,0,0,0,1,1,20211210,20261123
165270,0,0,0,0,0,1,1,20211210,20261123
165271,0,0,0,0,0,1,1,20211210,20261123
165272,0,0,0,0,0,1,1,20211210,20261123
165915,1,1,1,1,1,1,1,20210305,20260304
166170,1,1,1,1,1,0,0,20210215,20261123
166556,1,1,1,1,1,0,0,20210308,20261123
166694,1,1,1,1,1,1,0,20230701,20280930
167459,1,1,1,1,1,0,0,20210322,20270831
167536,0,1,0,1,0,1,0,20210322,20270831
167543,0,0,0,0,0,0,1,20210322,20270831
168147,1,1,1,1,1,1,1,20210315,20290930
168174,1,1,1,1,1,1,1,20231025,20280930
168278,0,0,0,0,0,1,1,20231025,20280930
168420,1,1,0,0,0,0,0,20250201,20300930
169092,1,1,1,1,1,1,1,20230701,20280930
169272,1,1,1,1,1,1,0,20210628,20260403
169366,1,1,1,1,1,1,1,20230701,20280930
169367,0,0,1,0,0,0,0,20210402,20261123
169578,0,0,0,0,0,1,1,20210501,20261123
169580,0,0,0,0,0,1,0,20210501,20261123
169585,1,1,1,1,1,0,0,20210501,20261123
169588,0,0,0,0,0,1,0,20210501,20261123
169598,1,1,1,1,1,0,0,20210501,20261123
169816,1,1,1,1,1,0,0,20230701,20280930
169942,1,1,1,1,1,1,0,20230701,20280930
169950,1,1,1,1,1,1,0,20230701,20280930
170083,1,1,1,1,1,0,0,20250801,20261123
170084,1,1,1,1,1,0,0,20250201,20300930
170102,1,1,1,1,1,1,1,20230701,20280930
170118,0,0,0,0,0,1,0,20250801,20261123
170126,0,0,0,0,0,1,1,20250801,20261123
170129,0,0,0,0,0,1,0,20210501,20261123
170130,1,1,1,1,1,0,0,20210501,20261123
170477,1,1,1,1,1,1,1,20230701,20280930
170527,1,0,0,0,0,0,0,20250201,20300930
170549,1,1,1,1,1,1,1,20210423,20300331
170560,1,1,1,1,1,0,0,20210501,20261123
170599,1,1,1,1,1,0,0,20250915,20261123
170604,1,1,1,1,1,1,0,20250915,20261123
170609,0,0,0,0,0,1,1,20250915,20261123
170621,1,1,1,1,1,1,1,20250915,20261123
170991,1,1,1,1,1,1,0,20230701,20280930
171166,1,1,1,1,1,0,0,20250201,20300930
171168,1,1,1,1,1,1,1,20250201,20300930
